Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime_sec,TrackStatus,AirTemp,TrackTemp,IsPersonalBest
SAI,Ferrari,37.0,3.0,HARD,6.0,97.13,1,26.5,29.5,True
HAM,Mercedes,37.0,3.0,HARD,7.0,97.388,1,26.5,29.5,False
ALO,Aston Martin,37.0,3.0,HARD,3.0,97.431,1,26.5,29.5,False
STR,Aston Martin,37.0,3.0,HARD,7.0,97.68,1,26.5,29.5,False
RUS,Mercedes,37.0,3.0,HARD,6.0,97.822,1,26.5,29.5,False
BOT,Alfa Romeo,37.0,3.0,HARD,8.0,97.774,1,26.5,29.5,False
ALB,Williams,37.0,3.0,HARD,11.0,98.038,1,26.5,29.5,False
GAS,Alpine,37.0,3.0,HARD,12.0,98.133,1,26.5,29.5,False
TSU,AlphaTauri,37.0,3.0,HARD,11.0,98.075,1,26.5,29.5,False
SAR,Williams,37.0,3.0,HARD,7.0,97.831,1,26.5,29.5,False
DEV,AlphaTauri,37.0,3.0,HARD,10.0,98.423,1,26.5,29.5,False
ZHO,Alfa Romeo,37.0,3.0,SOFT,8.0,98.003,1,26.5,29.5,False
MAG,Haas F1 Team,37.0,3.0,SOFT,8.0,97.998,1,26.5,29.5,False
HUL,Haas F1 Team,37.0,3.0,HARD,11.0,98.108,1,26.5,29.5,False
VER,Red Bull Racing,38.0,3.0,HARD,2.0,96.297,1,26.5,29.5,True
NOR,McLaren,37.0,4.0,MEDIUM,10.0,100.197,1,26.5,29.5,False
PER,Red Bull Racing,38.0,3.0,HARD,4.0,96.431,1,26.5,29.5,False
LEC,Ferrari,38.0,3.0,HARD,5.0,97.17,1,26.5,29.5,False
OCO,Alpine,37.0,4.0,HARD,5.0,97.338,1,26.5,29.5,False
SAI,Ferrari,38.0,3.0,HARD,7.0,97.444,1,26.5,29.5,False
ALO,Aston Martin,38.0,3.0,HARD,4.0,97.002,1,26.5,29.5,False
HAM,Mercedes,38.0,3.0,HARD,8.0,98.304,1,26.5,29.5,False
STR,Aston Martin,38.0,3.0,HARD,8.0,97.274,1,26.5,29.5,False
RUS,Mercedes,38.0,3.0,HARD,7.0,97.66,1,26.5,29.5,False
BOT,Alfa Romeo,38.0,3.0,HARD,9.0,97.658,1,26.5,29.5,False
ALB,Williams,38.0,3.0,HARD,12.0,98.33,1,26.5,29.5,False
GAS,Alpine,38.0,3.0,HARD,13.0,98.108,1,26.5,29.5,False
TSU,AlphaTauri,38.0,3.0,HARD,12.0,98.084,1,26.5,29.5,False
SAR,Williams,38.0,3.0,HARD,8.0,98.015,1,26.5,29.5,False
DEV,AlphaTauri,38.0,3.0,HARD,11.0,98.379,1,26.5,29.5,False
ZHO,Alfa Romeo,38.0,3.0,SOFT,9.0,98.422,1,26.5,29.5,False
MAG,Haas F1 Team,38.0,3.0,SOFT,9.0,98.303,1,26.5,29.5,False
HUL,Haas F1 Team,38.0,3.0,HARD,12.0,98.191,1,26.5,29.5,False
VER,Red Bull Racing,39.0,3.0,HARD,3.0,96.446,1,26.5,29.5,False
PER,Red Bull Racing,39.0,3.0,HARD,5.0,96.429,1,26.5,29.5,False
LEC,Ferrari,39.0,3.0,HARD,6.0,97.287,1,26.5,29.5,False
OCO,Alpine,38.0,4.0,HARD,6.0,97.216,1,26.5,29.5,False
SAI,Ferrari,39.0,3.0,HARD,8.0,97.403,1,26.5,29.5,False
ALO,Aston Martin,39.0,3.0,HARD,5.0,97.243,1,26.5,29.5,False
HAM,Mercedes,39.0,3.0,HARD,9.0,97.478,1,26.5,29.5,False
NOR,McLaren,38.0,5.0,HARD,1.0,128.682,1,26.5,29.5,False
STR,Aston Martin,39.0,3.0,HARD,9.0,97.456,1,26.5,29.5,False
RUS,Mercedes,39.0,3.0,HARD,8.0,97.495,1,26.5,29.5,False
BOT,Alfa Romeo,39.0,3.0,HARD,10.0,97.784,1,26.5,29.5,False
ALB,Williams,39.0,3.0,HARD,13.0,98.346,1,26.5,29.5,False
GAS,Alpine,39.0,3.0,HARD,14.0,98.537,1,26.5,29.5,False
TSU,AlphaTauri,39.0,3.0,HARD,13.0,98.419,1,26.5,29.5,False
SAR,Williams,39.0,3.0,HARD,9.0,97.971,1,26.5,29.5,False
DEV,AlphaTauri,39.0,3.0,HARD,12.0,98.535,1,26.5,29.5,False
ZHO,Alfa Romeo,39.0,3.0,SOFT,10.0,98.368,1,26.5,29.5,False
MAG,Haas F1 Team,39.0,3.0,SOFT,10.0,98.587,1,26.5,29.5,False
HUL,Haas F1 Team,39.0,3.0,HARD,13.0,98.184,1,26.5,29.5,False
VER,Red Bull Racing,40.0,3.0,HARD,4.0,96.942,1,26.5,29.5,False
PER,Red Bull Racing,40.0,3.0,HARD,6.0,97.114,1,26.5,29.5,False
LEC,Ferrari,40.0,3.0,HARD,7.0,,1,26.5,29.5,
OCO,Alpine,39.0,4.0,HARD,7.0,97.523,12,26.5,29.5,False
SAI,Ferrari,40.0,3.0,HARD,9.0,97.587,12,26.5,29.5,False
ALO,Aston Martin,40.0,3.0,HARD,6.0,97.208,12,26.5,29.5,False
HAM,Mercedes,40.0,3.0,HARD,10.0,97.494,12,26.5,29.5,False
NOR,McLaren,39.0,5.0,HARD,2.0,98.347,12,26.5,29.5,False
STR,Aston Martin,40.0,3.0,HARD,10.0,97.916,126,26.5,29.4,False
RUS,Mercedes,40.0,3.0,HARD,9.0,98.085,126,26.5,29.4,False
BOT,Alfa Romeo,40.0,3.0,HARD,11.0,110.376,126,26.5,29.4,False
ALB,Williams,40.0,3.0,HARD,14.0,110.177,126,26.5,29.4,False
GAS,Alpine,40.0,3.0,HARD,15.0,109.707,126,26.5,29.4,False
TSU,AlphaTauri,40.0,3.0,HARD,14.0,110.35,126,26.5,29.4,False
SAR,Williams,40.0,3.0,HARD,10.0,113.753,126,26.5,29.4,False
DEV,AlphaTauri,40.0,3.0,HARD,13.0,113.544,126,26.5,29.4,False
ZHO,Alfa Romeo,40.0,3.0,SOFT,11.0,113.456,126,26.5,29.4,False
MAG,Haas F1 Team,40.0,3.0,SOFT,11.0,117.797,126,26.5,29.3,False
HUL,Haas F1 Team,40.0,3.0,HARD,14.0,118.689,126,26.5,29.3,False
VER,Red Bull Racing,41.0,3.0,HARD,5.0,120.495,126,26.5,29.3,False
PER,Red Bull Racing,41.0,3.0,HARD,7.0,123.522,126,26.5,29.3,False
OCO,Alpine,40.0,4.0,HARD,8.0,128.023,2671,26.5,29.3,False
SAI,Ferrari,41.0,3.0,HARD,10.0,126.436,2671,26.5,29.4,False
ALO,Aston Martin,41.0,3.0,HARD,7.0,126.713,2671,26.5,29.4,False
HAM,Mercedes,41.0,3.0,HARD,11.0,126.491,2671,26.5,29.4,False
NOR,McLaren,40.0,5.0,HARD,3.0,127.97,2671,26.5,29.4,False
STR,Aston Martin,41.0,3.0,HARD,11.0,126.809,671,26.5,29.4,False
RUS,Mercedes,41.0,3.0,HARD,10.0,126.293,671,26.5,29.4,False
BOT,Alfa Romeo,41.0,3.0,HARD,12.0,115.281,671,26.5,29.4,False
ALB,Williams,41.0,4.0,SOFT,1.0,128.659,671,26.5,29.4,False
GAS,Alpine,41.0,4.0,SOFT,1.0,128.544,671,26.5,29.4,False
DEV,AlphaTauri,41.0,3.0,HARD,14.0,114.359,671,26.5,29.4,False
ZHO,Alfa Romeo,41.0,3.0,SOFT,12.0,112.5,671,26.5,29.4,False
TSU,AlphaTauri,41.0,4.0,SOFT,4.0,130.782,671,26.5,29.4,False
SAR,Williams,41.0,4.0,SOFT,1.0,125.614,671,26.5,29.4,False
VER,Red Bull Racing,42.0,3.0,HARD,6.0,104.824,671,26.4,29.3,False
MAG,Haas F1 Team,41.0,4.0,SOFT,1.0,122.547,671,26.4,29.3,False
PER,Red Bull Racing,42.0,3.0,HARD,8.0,99.657,671,26.4,29.3,False
HUL,Haas F1 Team,41.0,4.0,SOFT,4.0,125.275,671,26.4,29.3,False
SAI,Ferrari,42.0,3.0,HARD,11.0,97.375,1,26.4,29.3,False
ALO,Aston Martin,42.0,3.0,HARD,8.0,96.334,1,26.4,29.3,False
OCO,Alpine,41.0,4.0,HARD,9.0,102.684,1,26.4,29.3,False
HAM,Mercedes,42.0,3.0,HARD,12.0,97.061,1,26.4,29.3,False
NOR,McLaren,41.0,5.0,HARD,4.0,96.705,1,26.4,29.3,True
STR,Aston Martin,42.0,3.0,HARD,12.0,97.298,1,26.4,29.3,False
RUS,Mercedes,42.0,3.0,HARD,11.0,97.035,1,26.4,29.3,False
BOT,Alfa Romeo,42.0,3.0,HARD,13.0,97.736,1,26.4,29.3,False
GAS,Alpine,42.0,4.0,SOFT,2.0,95.068,1,26.4,29.3,True
ALB,Williams,42.0,4.0,SOFT,2.0,97.211,1,26.4,29.3,True
TSU,AlphaTauri,42.0,4.0,SOFT,5.0,96.637,1,26.4,29.3,True
DEV,AlphaTauri,42.0,3.0,HARD,15.0,99.873,1,26.4,29.3,False
ZHO,Alfa Romeo,42.0,3.0,SOFT,13.0,99.904,1,26.4,29.3,False
SAR,Williams,42.0,4.0,SOFT,2.0,96.037,1,26.4,29.3,True
VER,Red Bull Racing,43.0,3.0,HARD,7.0,96.89,1,26.4,29.3,False
MAG,Haas F1 Team,42.0,4.0,SOFT,2.0,96.471,1,26.4,29.3,True
PER,Red Bull Racing,43.0,3.0,HARD,9.0,96.554,1,26.4,29.3,False
HUL,Haas F1 Team,42.0,4.0,SOFT,5.0,96.616,1,26.4,29.3,True
SAI,Ferrari,43.0,3.0,HARD,12.0,97.294,1,26.4,29.2,False
ALO,Aston Martin,43.0,3.0,HARD,9.0,96.911,1,26.4,29.2,False
HAM,Mercedes,43.0,3.0,HARD,13.0,97.111,1,26.4,29.2,False
NOR,McLaren,42.0,5.0,HARD,5.0,96.668,1,26.4,29.2,True
STR,Aston Martin,43.0,3.0,HARD,13.0,97.304,1,26.4,29.2,False
RUS,Mercedes,43.0,3.0,HARD,12.0,97.48,1,26.4,29.2,False
BOT,Alfa Romeo,43.0,3.0,HARD,14.0,97.813,1,26.4,29.2,False
GAS,Alpine,43.0,4.0,SOFT,3.0,95.942,1,26.4,29.2,False
ALB,Williams,43.0,4.0,SOFT,3.0,97.144,1,26.4,29.2,True
TSU,AlphaTauri,43.0,4.0,SOFT,6.0,97.028,1,26.4,29.2,False
ZHO,Alfa Romeo,43.0,3.0,SOFT,14.0,98.311,1,26.4,29.2,False
DEV,AlphaTauri,43.0,3.0,HARD,16.0,100.177,1,26.4,29.2,False
SAR,Williams,43.0,4.0,SOFT,3.0,96.801,1,26.4,29.2,False
